product_id,product_title,categories,reviews.text,rating,sentiment
4589130,Stainless Steel Blender,Home & Kitchen,Fast shipping and great packaging.,5,Positive
4716121,Long-Wear Matte Lipstick,Beauty,Highly recommend. Excellent quality.,5,Positive
9640962,Electric Toothbrush,Health & Personal Care,"Terrible experience, do not buy.",1,Negative
4442583,Hydrating Facial Serum,Beauty,"Does the job, but not impressed.",4,Positive
9757659,LEGO Building Kit,Toys & Games,Exactly what I needed!,5,Positive
7686351,Hand Sanitizer Gel,Health & Personal Care,"Does the job, but not impressed.",3,Neutral
8129390,Mystery Thriller Novel,Books,Poor quality and broke quickly.,2,Negative
5316444,Self-Help Motivational Book,Books,Easy to use and durable.,5,Positive
5237618,LED Desk Lamp,Home & Kitchen,Worst purchase I've made.,1,Negative
5413704,Cookbook with Recipes,Books,Great product! Works perfectly.,5,Positive
3786675,Anti-Aging Night Cream,Beauty,Fast shipping and great packaging.,5,Positive
5237618,LED Desk Lamp,Home & Kitchen,"Works, but not as described.",3,Neutral
5413704,Cookbook with Recipes,Books,"Does the job, but not impressed.",3,Neutral
9757659,LEGO Building Kit,Toys & Games,Exactly what I needed!,4,Positive
4716121,Long-Wear Matte Lipstick,Beauty,I'm very satisfied with this purchase.,4,Neutral
3786675,Anti-Aging Night Cream,Beauty,Great product! Works perfectly.,5,Positive
4442583,Hydrating Facial Serum,Beauty,Well worth the price!,5,Positive
9757659,LEGO Building Kit,Toys & Games,"Not bad, but has some issues.",3,Neutral
5413704,Cookbook with Recipes,Books,"Does the job, but not impressed.",4,Neutral
8261104,Water Bottle,Sports & Outdoors,"Does the job, but not impressed.",3,Neutral
9274176,Board Game Bundle,Toys & Games,Well worth the price!,5,Positive
5413704,Cookbook with Recipes,Books,Exactly what I needed!,5,Positive
3523465,Yoga Mat,Sports & Outdoors,Highly recommend. Excellent quality.,5,Positive
2180003,Casual Cotton T-Shirt,Fashion,Well worth the price!,5,Positive
5237618,LED Desk Lamp,Home & Kitchen,"Could be better, but acceptable.",3,Neutral
9757659,LEGO Building Kit,Toys & Games,Highly recommend. Excellent quality.,5,Positive
4515506,Wooden Puzzle Set,Toys & Games,"Terrible experience, do not buy.",2,Negative
6215130,Noise-Canceling Headphones,Electronics,Exactly what I needed!,5,Positive
7882388,Non-Stick Frying Pan,Home & Kitchen,Fast shipping and great packaging.,5,Positive
6224586,Leather Crossbody Bag,Fashion,Great product! Works perfectly.,5,Positive
4795734,Children's Picture Book,Books,Did not work as expected.,1,Negative
4657153,Remote Control Car,Toys & Games,Very disappointed with this item.,1,Negative
5237618,LED Desk Lamp,Home & Kitchen,Exactly what I needed!,5,Positive
